Python File Name,Threat Level,Type of Error,LOC,Description,Code segments
cirq\cirq\circuits\circuit.py,1,Annotation Variable,903,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type[NotImplemented]]:"
cirq\cirq\circuits\circuit.py,1,Annotation Variable,903, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type[NotImplemented]]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,216,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,216, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,361,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,361, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,531,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\google\xmon_gates.py,1,Annotation Variable,531, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\controlled_gate.py,1,Annotation Variable,92,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\controlled_gate.py,1,Annotation Variable,92, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\eigen_gate.py,1,Annotation Variable,183,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\eigen_gate.py,1,Annotation Variable,183, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\gate_operation.py,1,Annotation Variable,145,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\ops\gate_operation.py,1,Annotation Variable,145, Suggestion: use type[...] instead of type(...),"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
cirq\cirq\protocols\inverse_test.py,1,Annotation Variable,25,invalid type comment or annotation,"def __pow__(self, exponent) -> type(NotImplemented):"
cirq\cirq\protocols\inverse_test.py,1,Annotation Variable,25, Suggestion: use type[...] instead of type(...),"def __pow__(self, exponent) -> type(NotImplemented):"
cirq\cirq\protocols\unitary.py,1,Annotation Variable,34,invalid type comment or annotation,"def _unitary_(self) -> Union[np.ndarray, type(NotImplemented)]:"
