directory ,type,loc,rank,ccscore,risk,description
cirq\cirq\decompositions.py,Function,34,C,20,moderate - slightly complex block,single_qubit_matrix_to_pauli_rotations
cirq\cirq\circuits\circuit_test.py,Function,536,D,30,more than moderate - more complex block,test_next_moment_operating_on
cirq\cirq\circuits\circuit_test.py,Function,611,D,30,more than moderate - more complex block,test_prev_moment_operating_on
cirq\cirq\circuits\circuit_test.py,Function,2002,C,20,moderate - slightly complex block,test_push_frontier_random_circuit
cirq\cirq\circuits\circuit_test.py,Function,653,C,20,moderate - slightly complex block,test_prev_moment_operating_on_distance
cirq\cirq\circuits\circuit_test.py,Function,578,C,20,moderate - slightly complex block,test_next_moment_operating_on_distance
cirq\cirq\circuits\circuit_test.py,Function,778,C,20,moderate - slightly complex block,test_are_all_measurements_terminal
cirq\cirq\circuits\circuit_test.py,Function,1704,C,20,moderate - slightly complex block,test_batch_remove
cirq\cirq\circuits\circuit_test.py,Function,261,C,20,moderate - slightly complex block,test_multiply
cirq\cirq\circuits\circuit_test.py,Function,710,C,20,moderate - slightly complex block,test_findall_operations
cirq\cirq\circuits\circuit_test.py,Function,1782,C,20,moderate - slightly complex block,test_batch_insert_into
cirq\cirq\circuits\convert_to_cz_and_single_gates.py,Function,56,C,20,moderate - slightly complex block,_convert_one
cirq\cirq\circuits\merge_interactions.py,Function,44,C,20,moderate - slightly complex block,optimization_at
cirq\cirq\circuits\moment_test.py,Function,73,D,30,more than moderate - more complex block,test_operates_on
cirq\cirq\circuits\moment_test.py,Function,122,C,20,moderate - slightly complex block,test_without_operations_touching
cirq\cirq\circuits\optimization_pass_test.py,Function,51,C,20,moderate - slightly complex block,ReplaceWithXGates
cirq\cirq\circuits\optimization_pass_test.py,Function,58,C,20,moderate - slightly complex block,optimization_at
cirq\cirq\circuits\qasm_output.py,Function,250,C,20,moderate - slightly complex block,_write_operations
cirq\cirq\circuits\text_diagram_drawer.py,Function,129,C,20,moderate - slightly complex block,render
cirq\cirq\circuits\text_diagram_drawer.py,Function,224,C,20,moderate - slightly complex block,_pad_into_multiline
cirq\cirq\contrib\acquaintance\strategy_test.py,Function,35,C,20,moderate - slightly complex block,test_complete_acquaintance_strategy
cirq\cirq\contrib\jobs\depolarizer_channel.py,Function,64,C,20,moderate - slightly complex block,transform_job
cirq\cirq\contrib\paulistring\pauli_string_phasor_test.py,Function,187,C,20,moderate - slightly complex block,test_try_cast_to
cirq\cirq\contrib\quirk\export_to_quirk.py,Function,55,C,20,moderate - slightly complex block,circuit_to_quirk_url
cirq\cirq\devices\grid_qubit_test.py,Function,35,C,20,moderate - slightly complex block,test_xmon_qubit_ordering
cirq\cirq\devices\grid_qubit_test.py,Function,53,C,20,moderate - slightly complex block,test_xmon_qubit_is_adjacent
cirq\cirq\extension\cast_test.py,Function,39,C,20,moderate - slightly complex block,test_cast
cirq\cirq\extension\extensions_test.py,Function,185,C,20,moderate - slightly complex block,test_add_cast_include_subtypes
cirq\cirq\google\convert_to_xmon_gates.py,Function,59,C,20,moderate - slightly complex block,_convert_one
cirq\cirq\google\eject_full_w.py,Function,62,C,20,moderate - slightly complex block,optimize_circuit
cirq\cirq\google\eject_z.py,Function,51,C,20,moderate - slightly complex block,optimize_circuit
cirq\cirq\google\xmon_device_test.py,Function,257,C,20,moderate - slightly complex block,test_row_and_col
cirq\cirq\google\xmon_device_test.py,Function,239,C,20,moderate - slightly complex block,test_at
cirq\cirq\google\xmon_gates.py,Function,49,C,20,moderate - slightly complex block,from_proto_dict
cirq\cirq\google\engine\engine_test.py,Function,479,C,20,moderate - slightly complex block,test_implied_job_config
cirq\cirq\google\engine\engine_test.py,Function,235,C,20,moderate - slightly complex block,test_run_sweep_params
cirq\cirq\google\engine\engine_test.py,Function,280,C,20,moderate - slightly complex block,test_run_sweep_sweeps
cirq\cirq\google\engine\engine_test.py,Function,440,C,20,moderate - slightly complex block,test_implied_job_config_gcs_prefix
cirq\cirq\google\engine\env_config_test.py,Function,23,C,20,moderate - slightly complex block,test_engine_from_environment
cirq\cirq\google\sim\xmon_simulator.py,Function,478,C,20,moderate - slightly complex block,_simulator_iterator
cirq\cirq\google\sim\xmon_stepper_test.py,Function,667,C,20,moderate - slightly complex block,random_moments
cirq\cirq\linalg\predicates_test.py,Function,194,D,30,more than moderate - more complex block,test_is_special_orthogonal
cirq\cirq\linalg\predicates_test.py,Function,105,D,30,more than moderate - more complex block,test_is_unitary
cirq\cirq\linalg\predicates_test.py,Function,149,D,30,more than moderate - more complex block,test_is_orthogonal
cirq\cirq\linalg\predicates_test.py,Function,59,D,30,more than moderate - more complex block,test_is_hermitian
cirq\cirq\linalg\predicates_test.py,Function,247,D,30,more than moderate - more complex block,test_is_special_unitary
cirq\cirq\linalg\predicates_test.py,Function,22,C,20,moderate - slightly complex block,test_is_diagonal
cirq\cirq\linalg\predicates_test.py,Function,297,C,20,moderate - slightly complex block,test_commutes
